weekend,hour,sum(free_bases)
True,0,222
False,13,2268
False,20,1494
True,7,302
True,20,200
False,14,2190
True,2,254
False,7,1769
True,9,327
False,5,1648
True,22,193
True,1,235
True,3,281
False,22,1230
True,11,341
False,16,1948
False,0,1402
True,4,287
False,10,2330
False,17,1814
True,8,310
True,16,316
True,19,220
True,23,199
False,9,2304
False,15,2056
False,18,1666
True,18,245
True,14,329
False,11,2385
True,21,213
False,1,1480
False,19,1536
True,17,279
True,12,352
False,8,2098
True,5,291
True,15,328
False,6,1668
False,2,1546
True,13,334
False,3,1597
True,6,300
True,10,339
False,4,1612
False,12,2289
False,21,1381
False,23,1263
